SKU,Product Name,Price,MRP,Discount,Star Rating,Size,Net Quantity,Key Features,Image URL
GHFMGFEK080,Grace Plus BLDC 800 W Mixer Grinder,7 999.00,13 300.00,Not Available,Not Available,"Black 800 W, 3 Jar",1 N,BLDC Plus Technologically Advanced Mixer Grinder | Leak Resistance Technology | High Grade SS 304 Blades | Bigger Size Jar with clip locking for hands free operation | Variable Speed Jog dial knob for ease of use | 15000 Revolution Per Minute* (Approx.) | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghfmgfek080.jpg
GHFMGFVK035,Nutri Insta Blend 350 W Mixer Grinder,2 899.00,3 999.00,Not Available,Not Available,"Black 350 W, 3 Jar",1 N,Nutri Jars with Blend | Carry and Store Feature | One Push Switch Function | High Grade SS304 Blades | Overload Protection | 650 ml Polycarbonate Nutri Blending Jar | 350 ml Polycarbonate Nutri Blending jar | 300 ml SS Jar Grinding Jar | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghfmgfvk035.jpg
GHFHMFSE030,Numixo Hand Mixer,2 299.00,3 895.00,Not Available,Not Available,300 W Black,1 N,300 W Powerful Motor | 1300 Revolution Per Minute* (Approx.) | 5 Speeds with Turbo function | ABS Body | Stainless steel Beater & Dough Hooks | Single Ejector Button | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/n/u/numixo.jpg
GHFJMGFE095,Hexo Punch 900 W Juicer Mixer Grinder,6 099.00,10 075.00,Not Available,92%,"Blue 900 W, 2 Jar",1 N,Double Ball Bearing Motor | Metal Teeth Motor Coupler | SS304 Juicing Mesh | Easy to remove Pulp Container | Wider Mouth Jar | Body Locks for Convenience | Overload Protection | 1.75 L Blending Jar | 1 L SS Jar with Metal Base | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/h/e/hero_punch.jpg
GHCSTETK090,Hexo Big Fill Sandwich Maker,2 499.00,3 995.00,Not Available,95%,"900 W, Sandwich Maker",1 N,"Power Indicator Light : Light Indicator for ""power on"" and ""ready"" function | Non-Stick Coating Plates : Food grade non-stick coating for healthy cooking | Cool Touch Handle | Upright Storage for Reducing the Storage Space | Warranty : 2 Years Product Warranty* | Grooves : Non-Stick Deeper Grooves for more filling | Safety : Easy hinged lock for safety | ",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/h/e/hexo.jpg
GHCSTESK090,Hexo Big Fill Grill Sandwich Maker,2 499.00,3 995.00,Not Available,95%,"900 W, Sandwich Grill Maker",1 N,"Power Indicator Light : Light Indicator for ""power on"" and ""ready"" function | Non-Stick Coating Grill Plates : Food Grade Non-Stick Coating for healthy cooking | Cool Touch Handle | Upright Storage for Reducing the Storage Space | Warranty : 2 Years Product Warranty* | Grooves : Non - Stick deeper grooves for more filling | Safety : Easy hinged lock for safety | ",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/s/m/sm_main_1.jpg
GHCAFSCK150,Prolife Neo Air Fryer,5 799.00,9 995.00,Not Available,Not Available,"1500 W, 4.5 L, Black, Digital control with 8 auto pre-set options",1 N,"Power : 1500 W for Optimum Performance | Touch control panel with LED indicator : easy to use, convenient Interface | 8 pre-set Options : Fries, steak, chicken, cake, shrimp, pizza and fish modes with adjustable time and temperature | Safety lock for child protection | ",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/p/r/prolife_neo_1.jpg
GHCSTSPK080,Quick Crunch Sandwich Maker,1 299.00,2 295.00,Not Available,95%,800 W Black,1 N,Power : 800 W | Power Indicator Light | Non-Stick Coating Plates | Quick Heating | Heat Resistant Body | 2 Years Product Warranty* | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghcstspk080_4_.jpg
GHCAFSDK150,Prolife Crystal Air Fryer,7 299.00,19 150.00,Not Available,Not Available,"1500 W, 5 L, Digital control with 8 auto pre-set options",1 N,8 Pre-Set Options with adjustable time and temperature. | Aero Crisp Technology ensures evenly cooked food | Safety lock for child protection. | Warranty : 2 Year | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghcafsdk150_1_.jpg
GHCPTSIK075,Crisp Plus 2 Slice Pop-Up Toaster,2 099.00,3 195.00,Not Available,Not Available,750 W Black,1 N,Crumb Tray : Drawer Type Crumb Tray for easy cleaning | Stainless Steel Cage Housing for extra Durability | Temperature Settings : 7 Temperature Setting Options | Cord Winder | 2 Years Product Warranty* | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghcptsik075.jpg
GHBKTBLK125,Steelio Electric Kettle,1 199.00,1 995.00,Not Available,Not Available,"1250 W, 1 L Black & Silver",1 N,"1 L Capacity | Triple Safety Protection : Dry Boiling Sensor, Over Heat Sensor, Auto Shut Off | Rust-Resistant 304 Stainless Steel Tank | Cool Touch Handle | 360° Cordless Kettle | ",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghbktblk125.jpg
GHBKTBKP060,Culinox Multicook Kettle,1 299.00,2 295.00,Not Available,Not Available,"600 W, 1.2 L Pink",1 N,SS 304 Ring Glass Lid | Easy Clean with Concealed Element | Cool Touch Handle | 3 Temperature Modes | 1 Year Product Warranty* | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghbktbkp060.jpg
GHBKTBJB060,Steamor Multicook Kettle,1 799.00,2 995.00,Not Available,Not Available,"600 W, 1.2 L Blue",1 N,"SS 304 Ring Glass Lid | Easy Clean with Concealed Element | Cool Touch Handle | 3 Temperature Modes : Low, High and Max | Double Safety protection : Over Heat and Dry Boil Protection for worry-free usage. | 1 Year Product Warranty* | ",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghbktbjb060.jpg
GHCAFSTB135,Prolife Brio Air Fryer,4 645.00,7 795.00,Not Available,Not Available,1350 W Blue,1 N,Power : 1350 W | Cool touch handle with overheat protection | 4.2 L Pan Capacity | Aero Crisp Technology ensures evenly cooked food | Adjustable Temperature and Time | Keep an eye on frying with see-through window | Warranty : 2 Year | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghcafstb135_1_.jpg
GHCAFSSK150,Prolife Stellar Chef Air Fryer,5 895.00,9 995.00,Not Available,Not Available,"1500 W, 5.5 L Black",1 N,"Power : 1500 W | Cool Touch Handle with Overheat Protection : For complete convenience and ease of use | Larger Pan Capacity : 5.5 L Pan Capacity | Non Stick Silicon Coated Pan : Non Stick high grade Silicon coated pan and frying plate, Food grade certified product | Cook Food with 85 % Less Oil | Keep an eye on frying with see-through window | Warranty : 2 Year | ",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghcafssk150_1_.jpg
GHGDIEFE100,Stufo Dry Iron,899.00,1 499.00,Not Available,90%,1000 W Black,1 N,Quick Heating 1000 W U-shape Element | ISI Certified for both Safety & Performance | Non-Stick soleplate with German tech Greblon | 360° Swivel Cord for Effortless Maneuvering | Precision tip & Aerodynamic body for east gliding | Shock & Rust proof body for safe ironing experience | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/s/t/stufo_dry_iron_1.jpg
